"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 20:18:08 GMT 2025","Tue Aug 19 20:18:08 GMT 2025","525","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","loginTest","Verify if login API is working.","This test case verifies that a user can log in successfully using the Login API."
"failed","Tue Aug 19 20:18:07 GMT 2025","Tue Aug 19 20:18:08 GMT 2025","438","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","forgotPasswordTest","Verify if forgot password API is working.","This test case verifies that the forgot password functionality works correctly."
"failed","Tue Aug 19 20:18:12 GMT 2025","Tue Aug 19 20:18:12 GMT 2025","409","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithInvalidTokenShouldReturnUnauthorized","Verify updating profile with invalid token should return Unauthorized","This test case verifies that updating a user profile with an invalid token returns a 401 Unauthorized status."
"failed","Tue Aug 19 20:18:09 GMT 2025","Tue Aug 19 20:18:10 GMT 2025","413","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithExpiredTokenShouldReturnUnauthorized","Verify retrieving profile with expired token should return Unauthorized","This test case verifies that retrieving a user profile with an expired token returns a 401 Unauthorized status."
"failed","Tue Aug 19 20:18:10 GMT 2025","Tue Aug 19 20:18:10 GMT 2025","411","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithInvalidTokenShouldReturnUnauthorized","Verify retrieving profile with invalid token should return Unauthorized","This test case verifies that retrieving a user profile with an invalid token returns a 401 Unauthorized status."
"failed","Tue Aug 19 20:18:06 GMT 2025","Tue Aug 19 20:18:07 GMT 2025","1454","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","createAccountTest","Verify the account creation functionality.","This test case verifies that a new user account can be created successfully using the SignUp API."
"failed","Tue Aug 19 20:18:11 GMT 2025","Tue Aug 19 20:18:12 GMT 2025","929","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithEmptyPayloadShouldReturnBadRequest","Verify updating profile with empty payload should return Bad Request","This test case verifies that updating a user profile with an empty payload returns a 400 Bad Request status."
"passed","Tue Aug 19 20:18:08 GMT 2025","Tue Aug 19 20:18:09 GMT 2025","936","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileTest","Verify the user profile retrieval functionality.","This test case verifies that a user profile can be retrieved successfully using the User Management API."
"passed","Tue Aug 19 20:18:10 GMT 2025","Tue Aug 19 20:18:11 GMT 2025","901","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileTest","Verify the user profile update functionality.","This test case verifies that a user profile can be updated successfully using the User Management API."
