"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 23 20:16:11 GMT 2025","Sat Aug 23 20:16:12 GMT 2025","452","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithExpiredTokenShouldReturnUnauthorized","Verify retrieving profile with expired token should return Unauthorized","This test case verifies that retrieving a user profile with an expired token returns a 401 Unauthorized status."
"passed","Sat Aug 23 20:16:10 GMT 2025","Sat Aug 23 20:16:11 GMT 2025","994","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileTest","Verify the user profile retrieval functionality.","This test case verifies that a user profile can be retrieved successfully using the User Management API."
"failed","Sat Aug 23 20:16:08 GMT 2025","Sat Aug 23 20:16:09 GMT 2025","1520","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","createAccountTest","Verify the account creation functionality.","This test case verifies that a new user account can be created successfully using the SignUp API."
"passed","Sat Aug 23 20:16:12 GMT 2025","Sat Aug 23 20:16:13 GMT 2025","988","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileTest","Verify the user profile update functionality.","This test case verifies that a user profile can be updated successfully using the User Management API."
"failed","Sat Aug 23 20:16:09 GMT 2025","Sat Aug 23 20:16:10 GMT 2025","465","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","forgotPasswordTest","Verify if forgot password API is working.","This test case verifies that the forgot password functionality works correctly."
"failed","Sat Aug 23 20:16:13 GMT 2025","Sat Aug 23 20:16:14 GMT 2025","974","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithEmptyPayloadShouldReturnBadRequest","Verify updating profile with empty payload should return Bad Request","This test case verifies that updating a user profile with an empty payload returns a 400 Bad Request status."
"passed","Sat Aug 23 20:16:10 GMT 2025","Sat Aug 23 20:16:10 GMT 2025","553","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","loginTest","Verify if login API is working.","This test case verifies that a user can log in successfully using the Login API."
"failed","Sat Aug 23 20:16:14 GMT 2025","Sat Aug 23 20:16:14 GMT 2025","444","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithInvalidTokenShouldReturnUnauthorized","Verify updating profile with invalid token should return Unauthorized","This test case verifies that updating a user profile with an invalid token returns a 401 Unauthorized status."
"failed","Sat Aug 23 20:16:12 GMT 2025","Sat Aug 23 20:16:12 GMT 2025","450","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithInvalidTokenShouldReturnUnauthorized","Verify retrieving profile with invalid token should return Unauthorized","This test case verifies that retrieving a user profile with an invalid token returns a 401 Unauthorized status."
