"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 20:18:39 GMT 2025","Wed Aug 20 20:18:40 GMT 2025","948","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileTest","Verify the user profile retrieval functionality.","This test case verifies that a user profile can be retrieved successfully using the User Management API."
"failed","Wed Aug 20 20:18:42 GMT 2025","Wed Aug 20 20:18:43 GMT 2025","924","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithEmptyPayloadShouldReturnBadRequest","Verify updating profile with empty payload should return Bad Request","This test case verifies that updating a user profile with an empty payload returns a 400 Bad Request status."
"passed","Wed Aug 20 20:18:41 GMT 2025","Wed Aug 20 20:18:42 GMT 2025","923","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileTest","Verify the user profile update functionality.","This test case verifies that a user profile can be updated successfully using the User Management API."
"failed","Wed Aug 20 20:18:38 GMT 2025","Wed Aug 20 20:18:39 GMT 2025","438","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","forgotPasswordTest","Verify if forgot password API is working.","This test case verifies that the forgot password functionality works correctly."
"failed","Wed Aug 20 20:18:41 GMT 2025","Wed Aug 20 20:18:41 GMT 2025","427","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithInvalidTokenShouldReturnUnauthorized","Verify retrieving profile with invalid token should return Unauthorized","This test case verifies that retrieving a user profile with an invalid token returns a 401 Unauthorized status."
"passed","Wed Aug 20 20:18:39 GMT 2025","Wed Aug 20 20:18:39 GMT 2025","522","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","loginTest","Verify if login API is working.","This test case verifies that a user can log in successfully using the Login API."
"failed","Wed Aug 20 20:18:37 GMT 2025","Wed Aug 20 20:18:38 GMT 2025","1547","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","createAccountTest","Verify the account creation functionality.","This test case verifies that a new user account can be created successfully using the SignUp API."
"failed","Wed Aug 20 20:18:43 GMT 2025","Wed Aug 20 20:18:43 GMT 2025","420","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithInvalidTokenShouldReturnUnauthorized","Verify updating profile with invalid token should return Unauthorized","This test case verifies that updating a user profile with an invalid token returns a 401 Unauthorized status."
"failed","Wed Aug 20 20:18:40 GMT 2025","Wed Aug 20 20:18:41 GMT 2025","426","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithExpiredTokenShouldReturnUnauthorized","Verify retrieving profile with expired token should return Unauthorized","This test case verifies that retrieving a user profile with an expired token returns a 401 Unauthorized status."
