"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 15 17:39:00 GMT 2025","Fri Aug 15 17:39:00 GMT 2025","431","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithInvalidTokenShouldReturnUnauthorized","Verify retrieving profile with invalid token should return Unauthorized","This test case verifies that retrieving a user profile with an invalid token returns a 401 Unauthorized status."
"failed","Fri Aug 15 17:38:59 GMT 2025","Fri Aug 15 17:39:00 GMT 2025","435","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithExpiredTokenShouldReturnUnauthorized","Verify retrieving profile with expired token should return Unauthorized","This test case verifies that retrieving a user profile with an expired token returns a 401 Unauthorized status."
"failed","Fri Aug 15 17:38:57 GMT 2025","Fri Aug 15 17:38:58 GMT 2025","448","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","forgotPasswordTest","Verify if forgot password API is working.","This test case verifies that the forgot password functionality works correctly."
"passed","Fri Aug 15 17:39:00 GMT 2025","Fri Aug 15 17:39:01 GMT 2025","971","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileTest","Verify the user profile update functionality.","This test case verifies that a user profile can be updated successfully using the User Management API."
"failed","Fri Aug 15 17:38:56 GMT 2025","Fri Aug 15 17:38:57 GMT 2025","1716","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","createAccountTest","Verify the account creation functionality.","This test case verifies that a new user account can be created successfully using the SignUp API."
"passed","Fri Aug 15 17:38:58 GMT 2025","Fri Aug 15 17:38:59 GMT 2025","977","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileTest","Verify the user profile retrieval functionality.","This test case verifies that a user profile can be retrieved successfully using the User Management API."
"failed","Fri Aug 15 17:39:01 GMT 2025","Fri Aug 15 17:39:02 GMT 2025","959","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithEmptyPayloadShouldReturnBadRequest","Verify updating profile with empty payload should return Bad Request","This test case verifies that updating a user profile with an empty payload returns a 400 Bad Request status."
"failed","Fri Aug 15 17:39:02 GMT 2025","Fri Aug 15 17:39:03 GMT 2025","432","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithInvalidTokenShouldReturnUnauthorized","Verify updating profile with invalid token should return Unauthorized","This test case verifies that updating a user profile with an invalid token returns a 401 Unauthorized status."
"passed","Fri Aug 15 17:38:58 GMT 2025","Fri Aug 15 17:38:58 GMT 2025","533","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","loginTest","Verify if login API is working.","This test case verifies that a user can log in successfully using the Login API."
