"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:37 GMT 2025","1293","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","loginTest","Verify if login API is working.","This test case verifies that a user can log in successfully using the Login API."
"unknown","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:35 GMT 2025","0","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","forgotPasswordTest","Verify if forgot password API is working.","This test case verifies that the forgot password functionality works correctly."
"unknown","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:35 GMT 2025","2","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithInvalidTokenShouldReturnUnauthorized","Verify retrieving profile with invalid token should return Unauthorized","This test case verifies that retrieving a user profile with an invalid token returns a 401 Unauthorized status."
"unknown","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:35 GMT 2025","0","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithEmptyPayloadShouldReturnBadRequest","Verify updating profile with empty payload should return Bad Request","This test case verifies that updating a user profile with an empty payload returns a 400 Bad Request status."
"unknown","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:35 GMT 2025","0","API Test Suite","API Test","org.api.tests.AuthTest","org.api.tests.AuthTest","createAccountTest","Verify the account creation functionality.","This test case verifies that a new user account can be created successfully using the SignUp API."
"unknown","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:35 GMT 2025","0","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileWithInvalidTokenShouldReturnUnauthorized","Verify updating profile with invalid token should return Unauthorized","This test case verifies that updating a user profile with an invalid token returns a 401 Unauthorized status."
"passed","Fri Aug 15 14:49:38 GMT 2025","Fri Aug 15 14:49:39 GMT 2025","949","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","updateProfileTest","Verify the user profile update functionality.","This test case verifies that a user profile can be updated successfully using the User Management API."
"unknown","Fri Aug 15 14:49:35 GMT 2025","Fri Aug 15 14:49:35 GMT 2025","1","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileWithExpiredTokenShouldReturnUnauthorized","Verify retrieving profile with expired token should return Unauthorized","This test case verifies that retrieving a user profile with an expired token returns a 401 Unauthorized status."
"passed","Fri Aug 15 14:49:37 GMT 2025","Fri Aug 15 14:49:38 GMT 2025","977","API Test Suite","API Test","org.api.tests.UserManagementTest","org.api.tests.UserManagementTest","getProfileTest","Verify the user profile retrieval functionality.","This test case verifies that a user profile can be retrieved successfully using the User Management API."
